"cluster","celltype_full","score","score_rank","db","species","organ","celltype","n_genes"
"0","B-cells_FANTOM_1 | Human | xCell",0.4628615732,47,"xCell","Human","","B-cells_FANTOM_1",8
"0","Epithelial cells_HPCA_3 | Human | xCell",0.4617335718,48,"xCell","Human","","Epithelial cells_HPCA_3",6
"0","Conventional dendritic cell | Human | CellMarker",0.4585423558,49,"CellMarker","Human","","Conventional dendritic cell",6
"0","Hepatoblasts | Liver | Human | PanglaoDB",0.453892496,50,"PanglaoDB","Human","Liver","Hepatoblasts",5
"0","Hepatoblasts | Liver | Mouse | PanglaoDB",0.453892496,51,"PanglaoDB","Mouse","Liver","Hepatoblasts",5
"0","Colonic epithelium | Human | TISSUES",0.447922014,52,"TISSUES","Human","","Colonic epithelium",7
"0","Memory B-cells_IRIS_2 | Human | xCell",0.4461132612,53,"xCell","Human","","Memory B-cells_IRIS_2",7
"0","Immune cell (Renal Clear Cell Carcinoma) | Human | CellMarker",0.4444964608,54,"CellMarker","Human","","Immune cell (Renal Clear Cell Carcinoma)",9
"0","B-lymphocyte | Mouse | TISSUES",0.4390692405,55,"TISSUES","Mouse","","B-lymphocyte",7
"0","pre-B-lymphocyte | Mouse | TISSUES",0.4390692405,56,"TISSUES","Mouse","","pre-B-lymphocyte",7
"0","pro-B-lymphocyte | Mouse | TISSUES",0.4390692405,57,"TISSUES","Mouse","","pro-B-lymphocyte",7
"0","Follicular cells | Thyroid | Human | PanglaoDB",0.4389894675,58,"PanglaoDB","Human","Thyroid","Follicular cells",6
"0","Follicular cells | Thyroid | Mouse | PanglaoDB",0.4389894675,59,"PanglaoDB","Mouse","Thyroid","Follicular cells",6
"0","Epithelial cells_ENCODE_2 | Human | xCell",0.4388095291,60,"xCell","Human","","Epithelial cells_ENCODE_2",7
"0","Neuroepithelioma cell | Human | TISSUES",0.4321514727,61,"TISSUES","Human","","Neuroepithelioma cell",5
"0","Monocytes_HPCA_1 | Human | xCell",0.4305701298,62,"xCell","Human","","Monocytes_HPCA_1",9
"0","amygdala | SaVanT",0.4283783967,63,"SaVanT","","","amygdala",50
"0","Plasma cells_IRIS_3 | Human | xCell",0.4282769165,64,"xCell","Human","","Plasma cells_IRIS_3",11
"0","naive B-cells_NOVERSHTERN_3 | Human | xCell",0.4268886428,65,"xCell","Human","","naive B-cells_NOVERSHTERN_3",36
"0","HBA_Pancreas | Human | SaVanT",0.4261756111,66,"SaVanT","Human","","HBA_Pancreas",13
"0","Neutrophils_IRIS_2 | Human | xCell",0.4249115226,67,"xCell","Human","","Neutrophils_IRIS_2",5
"0","Neutrophils_IRIS_3 | Human | xCell",0.4249115226,68,"xCell","Human","","Neutrophils_IRIS_3",5
"0","Neutrophil | Peripheral blood | Human | CellMarker",0.4239628212,69,"CellMarker","Human","Peripheral blood","Neutrophil",5
"0","Dendritic cell progenitor | Bone marrow | Human | CellMarker",0.4227160523,70,"CellMarker","Human","Bone marrow","Dendritic cell progenitor",7
"0","IMGN_T_8Eff_Sp_OT1_d6_LisOva | Mouse | SaVanT",0.4152415813,71,"SaVanT","Mouse","","IMGN_T_8Eff_Sp_OT1_d6_LisOva",24
"0","Platelets_HPCA_3 | Human | xCell",0.4149467099,72,"xCell","Human","","Platelets_HPCA_3",5
"0","B-cells_HPCA_2 | Human | xCell",0.4137327361,73,"xCell","Human","","B-cells_HPCA_2",5
"0","Intestinal epithelium | Human | TISSUES",0.4121096867,74,"TISSUES","Human","","Intestinal epithelium",8
"0","CD8+ Tem_NOVERSHTERN_3 | Human | xCell",0.4113267579,75,"xCell","Human","","CD8+ Tem_NOVERSHTERN_3",6
"0","4-cell stage cell (Blastomere) | Embryo | Mouse | CellMarker",0.4086444182,76,"CellMarker","Mouse","Embryo","4-cell stage cell (Blastomere)",12
"0","Tregs_FANTOM_3 | Human | xCell",0.3999535597,77,"xCell","Human","","Tregs_FANTOM_3",7
"0","naive B-cells_HPCA_3 | Human | xCell",0.3919406795,78,"xCell","Human","","naive B-cells_HPCA_3",15
"0","Neurons_ENCODE_1 | Human | xCell",0.3880019937,79,"xCell","Human","","Neurons_ENCODE_1",7
"0","Renal proximal tubule | Human | TISSUES",0.3867524417,80,"TISSUES","Human","","Renal proximal tubule",8
"0","Renal tubule | Human | TISSUES",0.3867524417,81,"TISSUES","Human","","Renal tubule",8
"0","Rheaume et al.Nat Commun.31 | Retina | Mouse | CellMarker",0.385561182,82,"CellMarker","Mouse","Retina","Rheaume et al.Nat Commun.31",7
"0","FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON | Human | MSigDB",0.3849386226,83,"MSigDB","Human","","FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON",110
"0","retinal_pigment_epithelium | SaVanT",0.384326942,84,"SaVanT","","","retinal_pigment_epithelium",29
"0","Neutrophils | Immune system | Mouse | PanglaoDB",0.3822597525,85,"PanglaoDB","Mouse","Immune system","Neutrophils",18
"0","IMGN_B_Fo_Sp | Mouse | SaVanT",0.3809781636,86,"SaVanT","Mouse","","IMGN_B_Fo_Sp",30
"0","IMGN_B_Fo_LN | Mouse | SaVanT",0.3807326829,87,"SaVanT","Mouse","","IMGN_B_Fo_LN",30
"0","naive B-cells_HPCA_2 | Human | xCell",0.3805528359,88,"xCell","Human","","naive B-cells_HPCA_2",12
"0","B-cells_HPCA_1 | Human | xCell",0.3797458309,89,"xCell","Human","","B-cells_HPCA_1",22
"0","HPCA_B_cells | Human | SaVanT",0.3796733587,90,"SaVanT","Human","","HPCA_B_cells",25
"0","T-cells_foxP3+ | SaVanT",0.3794513728,91,"SaVanT","","","T-cells_foxP3+",17
"0","pro B-cells_HPCA_1 | Human | xCell",0.3765508906,92,"xCell","Human","","pro B-cells_HPCA_1",22
"0","Lake et al.Science.Ex1 | Brain | Human | CellMarker",0.375308702,93,"CellMarker","Human","Brain","Lake et al.Science.Ex1",11
"0","Ciliated epithelial cell | Esophagus | Human | CellMarker",0.374005108,94,"CellMarker","Human","Esophagus","Ciliated epithelial cell",214
"0","ENL2 | SaVanT",0.373501573,95,"SaVanT","","","ENL2",20
"0","Lep_LL | SaVanT",0.3680978654,96,"SaVanT","","","Lep_LL",19
"0","CMP_NOVERSHTERN_1 | Human | xCell",0.3628333513,97,"xCell","Human","","CMP_NOVERSHTERN_1",15
"0","Eosinophil | Human | CellMarker",0.3627971688,98,"CellMarker","Human","","Eosinophil",9
"0","IMGN_B_FrF_BM | Mouse | SaVanT",0.3624514415,99,"SaVanT","Mouse","","IMGN_B_FrF_BM",32
"0","nucleus_accumbens | SaVanT",0.3599082554,100,"SaVanT","","","nucleus_accumbens",46
"1","Germ cell | Mouse | TISSUES",0.6791008575,1,"TISSUES","Mouse","","Germ cell",10
"1","Adrenergic neurons | Brain | Human | PanglaoDB",0.6466281857,2,"PanglaoDB","Human","Brain","Adrenergic neurons",5
"1","Adrenergic neurons | Brain | Mouse | PanglaoDB",0.6466281857,3,"PanglaoDB","Mouse","Brain","Adrenergic neurons",5
"1","Daltons lymphoma cell | Mouse | TISSUES",0.6230425188,4,"TISSUES","Mouse","","Daltons lymphoma cell",7
"1","T-cell lymphoma cell | Mouse | TISSUES",0.6230425188,5,"TISSUES","Mouse","","T-cell lymphoma cell",7
"1","CD8+ T-cells_IRIS_1 | Human | xCell",0.604354108,6,"xCell","Human","","CD8+ T-cells_IRIS_1",6
"1","Idiopathic pulmonary fibrosis cell | Lung | Human | CellMarker",0.5941593207,7,"CellMarker","Human","Lung","Idiopathic pulmonary fibrosis cell",5
"1","Immune cell (Renal Clear Cell Carcinoma) | Human | CellMarker",0.5707804301,8,"CellMarker","Human","","Immune cell (Renal Clear Cell Carcinoma)",9
"1","Reticulocytes | Blood | Human | PanglaoDB",0.5691489381,9,"PanglaoDB","Human","Blood","Reticulocytes",5
"1","Reticulocytes | Blood | Mouse | PanglaoDB",0.5691489381,10,"PanglaoDB","Mouse","Blood","Reticulocytes",5
"1","Vein | Mouse | TISSUES",0.5556346723,11,"TISSUES","Mouse","","Vein",9
"1","Lep_BT | SaVanT",0.5529146738,12,"SaVanT","","","Lep_BT",14
"1","Clara cells | Lungs | Human | PanglaoDB",0.5479962941,13,"PanglaoDB","Human","Lungs","Clara cells",8
"1","Clara cells | Lungs | Mouse | PanglaoDB",0.5479962941,14,"PanglaoDB","Mouse","Lungs","Clara cells",8
"1","Distal convoluted tubule cell | Kidney | Mouse | CellMarker",0.5435521866,15,"CellMarker","Mouse","Kidney","Distal convoluted tubule cell",12
"1","Rheaume et al.Nat Commun.34 | Retina | Mouse | CellMarker",0.5433407425,16,"CellMarker","Mouse","Retina","Rheaume et al.Nat Commun.34",10
"1","MSC_FANTOM_3 | Human | xCell",0.5381903234,17,"xCell","Human","","MSC_FANTOM_3",7
"1","Megakaryocyte | Human | TISSUES",0.5360050337,18,"TISSUES","Human","","Megakaryocyte",5
"1","Parathyroid gland | Human | TISSUES",0.5321951859,19,"TISSUES","Human","","Parathyroid gland",6
"1","Daltons lymphoma cell | Human | TISSUES",0.5320417706,20,"TISSUES","Human","","Daltons lymphoma cell",10
"1","T-cell lymphoma cell | Human | TISSUES",0.5320417706,21,"TISSUES","Human","","T-cell lymphoma cell",10
"1","NK cells_BLUEPRINT_3 | Human | xCell",0.5307351394,22,"xCell","Human","","NK cells_BLUEPRINT_3",8
"1","Eosinophils_BLUEPRINT_2 | Human | xCell",0.5303438757,23,"xCell","Human","","Eosinophils_BLUEPRINT_2",7
"1","Monocytes_IRIS_1 | Human | xCell",0.5070883573,24,"xCell","Human","","Monocytes_IRIS_1",5
"1","FAN_EMBRYONIC_CTX_BIG_GROUPS_EXCITATORY_NEURON | Human | MSigDB",0.4984850381,25,"MSigDB","Human","","FAN_EMBRYONIC_CTX_BIG_GROUPS_EXCITATORY_NEURON",35
"1","Lens epithelium | Human | TISSUES",0.498009918,26,"TISSUES","Human","","Lens epithelium",10
"1","cDC_NOVERSHTERN_3 | Human | xCell",0.4963559961,27,"xCell","Human","","cDC_NOVERSHTERN_3",7
"1","thymocyte_DP_CD4+CD8+ | SaVanT",0.4854909743,28,"SaVanT","","","thymocyte_DP_CD4+CD8+",32
"1","cerebral_cortex | SaVanT",0.4783776353,29,"SaVanT","","","cerebral_cortex",50
"1","Megakaryocyte-erythroid progenitor | Bone marrow | Mouse | CellMarker",0.4741812213,30,"CellMarker","Mouse","Bone marrow","Megakaryocyte-erythroid progenitor",7
"1","NK cells_IRIS_2 | Human | xCell",0.4623424026,31,"xCell","Human","","NK cells_IRIS_2",8
"1","Aorta | Mouse | TISSUES",0.4584150212,32,"TISSUES","Mouse","","Aorta",11
"1","Artery | Mouse | TISSUES",0.4584150212,33,"TISSUES","Mouse","","Artery",11
"1","Cardiomyocyte | Heart | Mouse | CellMarker",0.4539129023,34,"CellMarker","Mouse","Heart","Cardiomyocyte",6
"1","cerebral_cortex_prefrontal | SaVanT",0.4519265448,35,"SaVanT","","","cerebral_cortex_prefrontal",50
"1","Undefined placental cells | Placenta | Human | PanglaoDB",0.4513836292,36,"PanglaoDB","Human","Placenta","Undefined placental cells",7
"1","Undefined placental cells | Placenta | Mouse | PanglaoDB",0.4513836292,37,"PanglaoDB","Mouse","Placenta","Undefined placental cells",7
"1","Epithelial cells_ENCODE_2 | Human | xCell",0.4477685817,38,"xCell","Human","","Epithelial cells_ENCODE_2",7
"1","ZHONG_PFC_C3_UNKNOWN_INP | Human | MSigDB",0.4438030494,39,"MSigDB","Human","","ZHONG_PFC_C3_UNKNOWN_INP",17
"1","Sebocytes | Skin | Human | PanglaoDB",0.4316929827,40,"PanglaoDB","Human","Skin","Sebocytes",11
"1","Sebocytes | Skin | Mouse | PanglaoDB",0.4316929827,41,"PanglaoDB","Mouse","Skin","Sebocytes",11
"1","Rheaume et al.Nat Commun.22 | Retina | Mouse | CellMarker",0.4299433128,42,"CellMarker","Mouse","Retina","Rheaume et al.Nat Commun.22",8
"1","Memory B-cells_IRIS_1 | Human | xCell",0.4218574145,43,"xCell","Human","","Memory B-cells_IRIS_1",5
"1","Dopaminergic neurons | Brain | Human | PanglaoDB",0.4198291647,44,"PanglaoDB","Human","Brain","Dopaminergic neurons",15
"1","IMGN_T_DPbl_Th | Mouse | SaVanT",0.4168057447,45,"SaVanT","Mouse","","IMGN_T_DPbl_Th",26
"1","Dopaminergic neurons | Brain | Mouse | PanglaoDB",0.4145794749,46,"PanglaoDB","Mouse","Brain","Dopaminergic neurons",14
"1","Myeloid conventional dendritic cell | Bone marrow | Human | CellMarker",0.4129429284,47,"CellMarker","Human","Bone marrow","Myeloid conventional dendritic cell",5
"1","Mesenchymal stem cell | Human | TISSUES",0.4115806907,48,"TISSUES","Human","","Mesenchymal stem cell",6
"1","pDC_NOVERSHTERN_1 | Human | xCell",0.4092425153,49,"xCell","Human","","pDC_NOVERSHTERN_1",6
"1","CD4+ naive T-cells_NOVERSHTERN_1 | Human | xCell",0.4083124078,50,"xCell","Human","","CD4+ naive T-cells_NOVERSHTERN_1",20
"1","Eosinophil | SaVanT",0.4081600641,51,"SaVanT","","","Eosinophil",29
"1","Macrophage | Human | TISSUES",0.4062341709,52,"TISSUES","Human","","Macrophage",18
"1","cDC_HPCA_3 | Human | xCell",0.400735746,53,"xCell","Human","","cDC_HPCA_3",6
"1","B-cells_FANTOM_2 | Human | xCell",0.4003955661,54,"xCell","Human","","B-cells_FANTOM_2",6
"1","Eosinophils_BLUEPRINT_1 | Human | xCell",0.3980869637,55,"xCell","Human","","Eosinophils_BLUEPRINT_1",9
"1","Neurons_ENCODE_1 | Human | xCell",0.3966209641,56,"xCell","Human","","Neurons_ENCODE_1",7
"1","Rheaume et al.Nat Commun.7 | Retina | Mouse | CellMarker",0.3942795355,57,"CellMarker","Mouse","Retina","Rheaume et al.Nat Commun.7",7
"1","B-cells_FANTOM_1 | Human | xCell",0.3906879791,58,"xCell","Human","","B-cells_FANTOM_1",8
"1","Eosinophils_BLUEPRINT_3 | Human | xCell",0.3903116412,59,"xCell","Human","","Eosinophils_BLUEPRINT_3",18
"1","B-lymphocyte cell line | Mouse | TISSUES",0.3854354258,60,"TISSUES","Mouse","","B-lymphocyte cell line",10
"1","MEP_BLUEPRINT_3 | Human | xCell",0.382904959,61,"xCell","Human","","MEP_BLUEPRINT_3",7
"1","IMGN_proB_FrBC_FL | Mouse | SaVanT",0.3819956908,62,"SaVanT","Mouse","","IMGN_proB_FrBC_FL",27
"1","Distal tubule cells | Kidney | Human | PanglaoDB",0.3794419015,63,"PanglaoDB","Human","Kidney","Distal tubule cells",20
"1","Distal tubule cells | Kidney | Mouse | PanglaoDB",0.3794419015,64,"PanglaoDB","Mouse","Kidney","Distal tubule cells",20
"1","Memory B-cells_IRIS_2 | Human | xCell",0.3762000696,65,"xCell","Human","","Memory B-cells_IRIS_2",7
"1","pDC_NOVERSHTERN_2 | Human | xCell",0.3759943216,66,"xCell","Human","","pDC_NOVERSHTERN_2",7
"1","Rheaume et al.Nat Commun.6 | Retina | Mouse | CellMarker",0.3738815403,67,"CellMarker","Mouse","Retina","Rheaume et al.Nat Commun.6",18
"1","CD4+ Tcm_NOVERSHTERN_3 | Human | xCell",0.3729836002,68,"xCell","Human","","CD4+ Tcm_NOVERSHTERN_3",24
"1","IMGN_T_8Eff_Sp_OT1_d6_LisOva | Mouse | SaVanT",0.3723454792,69,"SaVanT","Mouse","","IMGN_T_8Eff_Sp_OT1_d6_LisOva",24
"1","pro B-cells_HPCA_1 | Human | xCell",0.3722366096,70,"xCell","Human","","pro B-cells_HPCA_1",22
"1","Coronary artery endothelial cell | Human | TISSUES",0.3717421033,71,"TISSUES","Human","","Coronary artery endothelial cell",6
"1","NK cells_BLUEPRINT_1 | Human | xCell",0.3710898818,72,"xCell","Human","","NK cells_BLUEPRINT_1",5
"1","NK cells_IRIS_1 | Human | xCell",0.3710898818,73,"xCell","Human","","NK cells_IRIS_1",5
"1","Memory B-cells_BLUEPRINT_3 | Human | xCell",0.3700835218,74,"xCell","Human","","Memory B-cells_BLUEPRINT_3",21
"1","MEP_NOVERSHTERN_2 | Human | xCell",0.3682186256,75,"xCell","Human","","MEP_NOVERSHTERN_2",5
"1","pDC_NOVERSHTERN_3 | Human | xCell",0.3674185214,76,"xCell","Human","","pDC_NOVERSHTERN_3",9
"1","Mast cells_FANTOM_3 | Human | xCell",0.3659420383,77,"xCell","Human","","Mast cells_FANTOM_3",35
"1","T-cells_foxP3+ | SaVanT",0.3655119335,78,"SaVanT","","","T-cells_foxP3+",17
"1","Pinealocytes | Brain | Human | PanglaoDB",0.3640209977,79,"PanglaoDB","Human","Brain","Pinealocytes",13
"1","Pinealocytes | Brain | Mouse | PanglaoDB",0.3640209977,80,"PanglaoDB","Mouse","Brain","Pinealocytes",13
"1","testis | SaVanT",0.3622884457,81,"SaVanT","","","testis",13
"1","Noradrenergic neurons | Brain | Human | PanglaoDB",0.3606326964,82,"PanglaoDB","Human","Brain","Noradrenergic neurons",6
"1","Noradrenergic neurons | Brain | Mouse | PanglaoDB",0.3606326964,83,"PanglaoDB","Mouse","Brain","Noradrenergic neurons",6
"1","NK cells_BLUEPRINT_2 | Human | xCell",0.3548745584,84,"xCell","Human","","NK cells_BLUEPRINT_2",19
"1","NK_cell | SaVanT",0.3476342244,85,"SaVanT","","","NK_cell",25
"1","Lep_RR | SaVanT",0.3437646766,86,"SaVanT","","","Lep_RR",16
"1","Th2_Harvard | SaVanT",0.3426508544,87,"SaVanT","","","Th2_Harvard",27
"1","granulo_mono_progenitor | SaVanT",0.3407994583,88,"SaVanT","","","granulo_mono_progenitor",33
"1","IMGN_T_8Eff_Sp_OT1_d5_VSVOva | Mouse | SaVanT",0.3370530386,89,"SaVanT","Mouse","","IMGN_T_8Eff_Sp_OT1_d5_VSVOva",23
"1","Monocytes_IRIS_3 | Human | xCell",0.3349584438,90,"xCell","Human","","Monocytes_IRIS_3",13
"1","Late neuroblast | Brain | Mouse | CellMarker",0.332846496,91,"CellMarker","Mouse","Brain","Late neuroblast",5
"1","Osteoclast precursor cells | Bone | Human | PanglaoDB",0.3324854435,92,"PanglaoDB","Human","Bone","Osteoclast precursor cells",7
"1","Osteoclast precursor cells | Bone | Mouse | PanglaoDB",0.3324854435,93,"PanglaoDB","Mouse","Bone","Osteoclast precursor cells",7
"1","Rheaume et al.Nat Commun.39 | Retina | Mouse | CellMarker",0.3279078273,94,"CellMarker","Mouse","Retina","Rheaume et al.Nat Commun.39",19
"1","CD4+ Tcm_NOVERSHTERN_1 | Human | xCell",0.3273486316,95,"xCell","Human","","CD4+ Tcm_NOVERSHTERN_1",6
"1","CD4+ Tcm_NOVERSHTERN_2 | Human | xCell",0.3273486316,96,"xCell","Human","","CD4+ Tcm_NOVERSHTERN_2",6
"1","ZHONG_PFC_C2_UNKNOWN_NPC | Human | MSigDB",0.3267078728,97,"MSigDB","Human","","ZHONG_PFC_C2_UNKNOWN_NPC",39
"1","HBA_PrefrontalCortex | Human | SaVanT",0.3257420854,98,"SaVanT","Human","","HBA_PrefrontalCortex",50
"1","CD4+ Tcm_HPCA_3 | Human | xCell",0.3252468127,99,"xCell","Human","","CD4+ Tcm_HPCA_3",14
"1","FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON | Human | MSigDB",0.3246713039,100,"MSigDB","Human","","FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON",110
"10","Macrophage | Bone marrow | Mouse | CellMarker",0.9367678626,1,"CellMarker","Mouse","Bone marrow","Macrophage",5
"10","Natural killer cell | Bone marrow | Mouse | CellMarker",0.9078783389,2,"CellMarker","Mouse","Bone marrow","Natural killer cell",5
"10","Chondrocytes_HPCA_2 | Human | xCell",0.8945190741,3,"xCell","Human","","Chondrocytes_HPCA_2",6
"10","Neutrophil | Bone marrow | Mouse | CellMarker",0.891539018,4,"CellMarker","Mouse","Bone marrow","Neutrophil",7
"10","Class-switched memory B-cells_NOVERSHTERN_1 | Human | xCell",0.8699069345,5,"xCell","Human","","Class-switched memory B-cells_NOVERSHTERN_1",5
"10","Chondrocytes_HPCA_3 | Human | xCell",0.8560066657,6,"xCell","Human","","Chondrocytes_HPCA_3",5
"10","M2 macrophage | Mouse | CellMarker",0.8332806861,7,"CellMarker","Mouse","","M2 macrophage",5
"10","Axin2+ cell | Lung | Mouse | CellMarker",0.8295388458,8,"CellMarker","Mouse","Lung","Axin2+ cell",16
"10","Memory B-cells_IRIS_1 | Human | xCell",0.8121105833,9,"xCell","Human","","Memory B-cells_IRIS_1",5
"10","Chondrocytes_HPCA_1 | Human | xCell",0.7974284589,10,"xCell","Human","","Chondrocytes_HPCA_1",8
"10","DC_FANTOM_3 | Human | xCell",0.7972288131,11,"xCell","Human","","DC_FANTOM_3",5
"10","Axin2-Palpha+ cell | Lung | Mouse | CellMarker",0.7913259816,12,"CellMarker","Mouse","Lung","Axin2-Palpha+ cell",7
"10","Meningeal cells | Brain | Human | PanglaoDB",0.7878342859,13,"PanglaoDB","Human","Brain","Meningeal cells",15
"10","Meningeal cells | Brain | Mouse | PanglaoDB",0.7878342859,14,"PanglaoDB","Mouse","Brain","Meningeal cells",15
"10","Macrophage | Lacrimal gland | Mouse | CellMarker",0.7839317035,15,"CellMarker","Mouse","Lacrimal gland","Macrophage",13
"10","Goblet cells | GI tract | Human | PanglaoDB",0.7764621059,16,"PanglaoDB","Human","GI tract","Goblet cells",10
"10","Goblet cells | GI tract | Mouse | PanglaoDB",0.7764621059,17,"PanglaoDB","Mouse","GI tract","Goblet cells",10
"10","DC_IRIS_2 | Human | xCell",0.7716573232,18,"xCell","Human","","DC_IRIS_2",9
"10","Stem cell | Adipose tissue | Mouse | CellMarker",0.7667197458,19,"CellMarker","Mouse","Adipose tissue","Stem cell",6
"10","T helper cell | Liver | Human | CellMarker",0.7605766717,20,"CellMarker","Human","Liver","T helper cell",6
"10","Ductal cells | Pancreas | Human | PanglaoDB",0.7543769505,21,"PanglaoDB","Human","Pancreas","Ductal cells",14
